"Index_Product","sku","national_inv","lead_time","in_transit_qty","forecast_3_month","forecast_6_month","forecast_9_month","sales_1_month","sales_3_month","sales_6_month","sales_9_month","min_bank","potential_issue","pieces_past_due","perf_6_month_avg","perf_12_month_avg","local_bo_qty","deck_risk","oe_constraint","ppap_risk","stop_auto_buy","rev_stop"
"1001","3362071","0.0","12.0","0.0","4.0","5.0","7.0","2.0","5.0","6.0","6.0","0.0","No","0.0","0.57","0.68","0.0","No","No","No","Yes","No"
"1002","3362095","-13.0","8.0","4.0","63.0","93.0","128.0","17.0","81.0","89.0","91.0","4.0","No","0.0","0.99","0.96","17.0","No","No","No","Yes","No"
"1003","3362448","35.0","0.0","3.0","132.0","204.0","252.0","27.0","106.0","202.0","296.0","55.0","No","0.0","0.0","0.0","0.0","No","No","Yes","No","No"
"1004","3362588","75.0","52.0","0.0","348.0","468.0","648.0","43.0","159.0","362.0","430.0","47.0","No","0.0","0.83","0.9","0.0","Yes","No","Yes","No","No"
"1005","3362693","5.0","12.0","1.0","73.0","107.0","151.0","6.0","66.0","103.0","132.0","13.0","No","0.0","0.73","0.79","0.0","No","No","No","Yes","No"
"1006","3362891","4.0","8.0","0.0","14.0","35.0","42.0","14.0","33.0","59.0","81.0","4.0","No","0.0","0.79","0.87","0.0","No","No","No","Yes","No"
"1007","3362901","12.0","8.0","0.0","18.0","48.0","66.0","7.0","35.0","70.0","99.0","0.0","No","0.0","0.76","0.84","0.0","No","No","No","Yes","No"
"1008","3362992","3.0","3.0","0.0","48.0","72.0","120.0","20.0","52.0","84.0","103.0","0.0","No","0.0","1.0","1.0","0.0","No","No","No","Yes","No"
"1009","3363021","2.0","8.0","0.0","0.0","0.0","0.0","2.0","7.0","10.0","16.0","0.0","No","0.0","0.93","0.95","0.0","No","No","No","Yes","No"
"1010","3363041","0.0","3.0","0.0","2.0","2.0","3.0","1.0","1.0","2.0","2.0","2.0","No","0.0","0.1","0.68","0.0","No","No","No","Yes","No"
"1011","3363104","5.0","2.0","0.0","4.0","4.0","4.0","2.0","4.0","4.0","4.0","0.0","No","0.0","0.53","0.46","0.0","Yes","No","No","Yes","No"
"1012","3363118","6.0","8.0","0.0","8.0","18.0","28.0","3.0","9.0","16.0","27.0","0.0","No","0.0","0.97","0.98","0.0","No","No","No","Yes","No"
"1013","3363176","15.0","2.0","0.0","0.0","0.0","0.0","1.0","2.0","5.0","5.0","2.0","No","0.0","0.99","0.97","0.0","No","No","No","Yes","No"
"1014","3363570","8.0","8.0","0.0","40.0","40.0","60.0","8.0","12.0","25.0","42.0","2.0","No","0.0","0.98","0.97","0.0","No","No","No","Yes","No"
"1015","3363737","-1.0","8.0","0.0","40.0","50.0","70.0","3.0","20.0","51.0","66.0","3.0","No","0.0","0.18","0.33","1.0","No","No","No","Yes","No"
"1016","3363757","5.0","2.0","10.0","10.0","10.0","10.0","11.0","25.0","40.0","52.0","17.0","No","0.0","0.85","0.83","0.0","No","No","No","Yes","No"
"1017","3363820","3.0","8.0","0.0","7.0","7.0","7.0","2.0","4.0","7.0","7.0","0.0","No","0.0","0.99","0.99","0.0","No","No","No","Yes","No"
